unique_id,icn,auctiondate,year,make,model,category,subcategory,location_state,location_city,starting_bid,reserve_price,hammer,buyers_premium,contract_price,reserve_met,seller_id,buyer_id,num_bids,region_id,district_id,territory_id,business_segment
51,TU2307,2025-08-05,2005,Ford,F-250,Truck/Trailer,Pickup Trucks,IN,Fort Wayne,4747,7094,9415,941,10356,1,2606,83,5,1,2,14,Expansion
52,ZL6623,2025-08-05,2022,Freightliner,Century,Truck/Trailer,Box Trucks,IN,Fort Wayne,4698,5675,17588,1758,19346,1,2551,863,9,1,4,27,Expansion
53,HZ8795,2025-08-05,2016,Freightliner,Columbia,Truck/Trailer,Box Trucks,TX,San Antonio,5939,6098,12138,1213,13351,1,2495,1644,7,1,3,22,Core
54,MR6968,2025-08-05,2005,Komatsu,WA500,Construction,Dozers,OK,Tulsa,13238,19504,30050,3005,33055,1,2328,410,13,1,3,17,Enterprise
55,IO3449,2025-08-05,2015,Massey Ferguson,8735,Ag Equipment,Combines,NV,Las Vegas,11308,10838,26347,2634,28981,1,2013,659,7,3,9,71,Core
56,GI2851,2025-08-05,2012,Ram,2500,Truck/Trailer,Box Trucks,NE,Omaha,4497,6602,15540,1554,17094,1,2614,1513,7,1,3,17,Expansion
57,YT4092,2025-08-05,1995,Toyota,Camry,Passenger,Coupes,VA,Norfolk,1334,1590,2313,231,2544,1,2070,1384,14,2,6,42,Core
58,RG0896,2025-08-05,2012,Ram,3500,Truck/Trailer,Dump Trucks,IN,Fort Wayne,5820,5910,15568,1556,17124,1,2546,697,2,1,4,28,Expansion
59,JY1321,2025-08-05,2008,Peterbilt,348,Truck/Trailer,Box Trucks,MO,Springfield,5162,6739,16040,1604,17644,1,2551,540,3,1,2,15,Expansion
60,HN3419,2025-08-05,2014,Honda,Pilot,Passenger,Coupes,FL,Tampa,1506,1787,5800,580,6380,1,2163,1639,10,2,7,56,Core
61,QU8892,2025-08-05,1994,Komatsu,D65,Construction,Excavators,KS,Wichita,16277,21261,33029,3302,36331,1,2473,2549,1,1,4,28,Expansion
62,KY6471,2025-08-05,2006,John Deere,DB60,Ag Equipment,Tractors,FL,Tampa,11438,13473,16959,1695,18654,1,2041,1489,13,2,7,55,Core
63,JN8549,2025-08-05,2012,John Deere,724K,Construction,Dozers,PA,Pittsburgh,14607,19367,25917,2591,28508,1,2009,1063,11,2,6,45,Enterprise
64,RQ2640,2025-08-05,2007,Caterpillar,330,Construction,Wheel Loaders,OK,Oklahoma City,16158,22142,42135,4213,46348,1,2649,749,9,1,2,12,Enterprise
65,MH6253,2025-08-05,2022,John Deere,S780,Ag Equipment,Harvesters,WI,Green Bay,10835,12963,23871,2387,26258,1,2337,2578,5,1,4,27,Expansion
66,EK1163,2025-08-05,2023,Kenworth,T880,Truck/Trailer,Dump Trucks,MO,Springfield,4421,7002,12916,1291,14207,1,2332,641,8,1,2,11,Core
67,GI4749,2025-08-05,1992,Ford,Explorer,Passenger,Coupes,KS,Overland Park,1573,1778,3633,363,3996,1,2110,305,13,1,2,16,Core
68,DQ4878,2025-08-05,1993,Chevrolet,Silverado 3500,Truck/Trailer,Box Trucks,MO,Springfield,5483,6282,11260,1126,12386,1,2619,95,15,1,3,21,Expansion
69,IC5901,2025-08-05,2012,Massey Ferguson,8735,Ag Equipment,Planters,MO,St Louis,10405,13428,33902,3390,37292,1,2152,845,2,1,2,12,Enterprise
70,BL1751,2025-08-05,2001,John Deere,8320R,Ag Equipment,Planters,OR,Portland,11101,11004,27291,2729,30020,1,2214,1559,9,3,9,72,Expansion
71,ES7088,2025-08-05,2008,Ram,3500,Truck/Trailer,Pickup Trucks,TX,San Antonio,4185,5888,12079,1207,13286,1,2132,2625,6,1,2,9,Core
72,KB9448,2025-08-05,2018,Toyota,Highlander,Passenger,Coupes,KS,Kansas City,1537,1486,3295,329,3624,1,2211,378,3,1,1,1,Core
73,GS3745,2025-08-05,2023,Chevrolet,Silverado 2500,Truck/Trailer,Semi Tractors,KS,Kansas City,4388,7068,14616,1461,16077,1,2256,927,10,1,3,18,Expansion
74,BJ6912,2025-08-05,2019,Ram,3500,Truck/Trailer,Dump Trucks,OK,Tulsa,6248,6534,18866,1886,20752,1,2532,1077,14,1,1,6,Expansion
75,BK1878,2025-08-05,2005,Honda,CR-V,Passenger,Minivans,CA,Sacramento,1000,1438,4058,405,4463,1,2628,274,7,3,11,84,Core
76,VG6417,2025-08-05,2021,Kenworth,W900,Truck/Trailer,Pickup Trucks,MN,St Paul,5861,5914,9153,915,10068,1,2042,1563,13,1,3,21,Core
77,ON9867,2025-08-05,1991,Ford,Explorer,Passenger,SUVs,IN,Indianapolis,1431,1601,7884,788,8672,1,2451,1888,4,1,1,6,Core
78,JN8933,2025-08-05,1995,Chevrolet,Silverado 3500,Truck/Trailer,Semi Tractors,CO,Colorado Springs,5643,7142,13710,1371,15081,1,2092,1368,11,3,10,80,Expansion
79,GF6202,2025-08-05,1991,Ford,Fusion,Passenger,Sedans,GA,Savannah,1453,1420,4014,401,4415,1,2211,897,14,2,6,45,Core
80,YS7479,2025-08-05,2015,Peterbilt,389,Truck/Trailer,Dump Trucks,IN,Indianapolis,4261,6996,13806,1380,15186,1,2584,1033,4,1,1,5,Expansion
81,QM1095,2025-08-05,2014,Kenworth,T880,Truck/Trailer,Pickup Trucks,FL,Jacksonville,4660,7100,11188,1118,12306,1,2186,121,13,2,6,43,Core
82,QY8719,2025-08-05,2008,Komatsu,D65,Construction,Excavators,MO,Springfield,15565,22202,30797,3079,33876,1,2404,125,2,1,4,27,Enterprise
83,YM7009,2025-08-05,2020,Peterbilt,348,Truck/Trailer,Box Trucks,OK,Broken Arrow,6271,5734,13543,1354,14897,1,2145,981,13,1,2,14,Core
84,XS0226,2025-08-05,1990,Case IH,9250,Ag Equipment,Harvesters,IL,Peoria,10537,13289,16465,1646,18111,1,2469,761,1,1,2,10,Core
85,QG9679,2025-08-05,2009,Peterbilt,389,Truck/Trailer,Semi Tractors,WA,Spokane,5522,6423,8733,873,9606,1,2614,1009,4,3,10,75,Expansion
86,HH8273,2025-08-05,2002,Chevrolet,Silverado 3500,Truck/Trailer,Pickup Trucks,MO,Kansas City,4272,5975,16797,1679,18476,1,2263,1632,2,1,3,19,Core
87,BA1821,2025-08-05,2019,Massey Ferguson,8737,Ag Equipment,Combines,KS,Wichita,11088,11084,29484,2948,32432,1,2216,1303,4,1,1,4,Expansion
88,AX6000,2025-08-05,2014,John Deere,7230R,Ag Equipment,Tractors,MO,Springfield,10858,12621,32507,3250,35757,1,2330,1518,13,1,1,3,Expansion
89,GS5977,2025-08-05,2013,Massey Ferguson,8737,Ag Equipment,Harvesters,CA,Sacramento,11297,11989,26069,2606,28675,1,2137,844,15,3,11,87,Core
90,SH1591,2025-08-05,2016,Case IH,Magnum 340,Ag Equipment,Combines,KS,Topeka,10019,10770,26892,2689,29581,1,2487,1387,2,1,3,24,Expansion
91,YP1899,2025-08-05,2012,Caterpillar,950M,Construction,Excavators,OR,Eugene,19710,20620,40493,4049,44542,1,2024,1485,15,3,12,96,Enterprise
92,OM2990,2025-08-05,2010,John Deere,644K,Construction,Skid Steers,MN,Rochester,19079,21699,38910,3891,42801,1,2328,1072,14,1,4,30,Enterprise
93,DO9670,2025-08-05,2001,Ford,Explorer,Passenger,Coupes,OH,Columbus,1062,1626,3514,351,3865,1,2185,1079,14,1,1,2,Core
94,YW7381,2025-08-05,2013,John Deere,724K,Construction,Skid Steers,OK,Broken Arrow,16298,21304,39816,3981,43797,1,2395,1719,1,1,2,11,Core
95,FM7491,2025-08-05,1993,John Deere,350G,Construction,Wheel Loaders,TX,Houston,12677,21574,37852,3785,41637,1,2563,1138,6,1,2,13,Core
96,YR9969,2025-08-05,2020,Ram,3500,Truck/Trailer,Semi Tractors,OK,Norman,4258,5636,15324,1532,16856,1,2253,858,13,1,3,23,Core
97,NN2378,2025-08-05,2009,Kenworth,W900,Truck/Trailer,Dump Trucks,NV,Reno,4819,6922,11083,1108,12191,1,2063,799,5,3,9,69,Enterprise
98,OQ6338,2025-08-05,1992,Komatsu,WA470,Construction,Dozers,OH,Cleveland,12638,18515,26717,2671,29388,1,2296,1537,11,1,3,24,Enterprise
99,IK6352,2025-08-05,1991,Case IH,8250,Ag Equipment,Tractors,KS,Wichita,7847,10672,22176,2217,24393,1,2141,2551,11,1,2,11,Core
100,VR8830,2025-08-05,2004,Chevrolet,Silverado 2500,Truck/Trailer,Box Trucks,WI,Green Bay,4461,5685,14348,1434,15782,1,2205,1224,10,1,1,4,Expansion
101,DL9991,2025-08-05,1991,John Deere,210G,Construction,Skid Steers,OK,Tulsa,14793,20920,46418,4641,51059,1,2123,1238,15,1,1,5,Core
102,PJ9716,2025-08-05,2021,Freightliner,Columbia,Truck/Trailer,Dump Trucks,NE,Omaha,6256,6707,10387,1038,11425,1,2417,713,11,1,3,22,Core
103,ES7789,2025-08-05,1996,Volvo,EC300,Construction,Skid Steers,GA,Savannah,17226,20376,49570,4957,54527,1,2581,1859,8,2,8,58,Enterprise
104,WJ5066,2025-08-05,2012,Freightliner,Columbia,Truck/Trailer,Pickup Trucks,NE,Bellevue,4129,6623,13236,1323,14559,1,2262,1940,11,1,3,17,Expansion
105,FM0789,2025-08-05,2014,John Deere,350G,Construction,Skid Steers,IA,Des Moines,12826,19878,44697,4469,49166,1,2152,315,1,1,3,23,Enterprise
106,UL7835,2025-08-05,2016,Ford,F-250,Truck/Trailer,Pickup Trucks,NC,Greensboro,4570,5870,17915,1791,19706,1,2509,1502,8,2,5,40,Expansion
107,NG5383,2025-08-05,2005,John Deere,350G,Construction,Dozers,KS,Kansas City,18616,20700,25366,2536,27902,1,2009,462,14,1,3,17,Enterprise
108,HQ9386,2025-08-05,2009,Ford,F-450,Truck/Trailer,Box Trucks,TX,Dallas,4347,7042,10384,1038,11422,1,2285,1611,14,1,1,6,Enterprise
109,MH5516,2025-08-05,2006,Kenworth,W900,Truck/Trailer,Semi Tractors,OK,Tulsa,5381,5974,18608,1860,20468,1,2252,1605,2,1,4,30,Core
110,PM3113,2025-08-05,1993,Kenworth,W900,Truck/Trailer,Dump Trucks,CO,Aurora,5722,6007,12353,1235,13588,1,2644,2506,1,3,9,71,Core
111,QO2581,2025-08-05,2010,Caterpillar,330,Construction,Dozers,GA,Savannah,12580,18412,36062,3606,39668,1,2241,903,13,2,7,53,Enterprise
112,FJ2783,2025-08-05,2020,Massey Ferguson,8735,Ag Equipment,Harvesters,IA,Davenport,10555,11091,17534,1753,19287,1,2414,849,1,1,4,27,Core
113,JZ4186,2025-08-05,2023,Peterbilt,579,Truck/Trailer,Box Trucks,OK,Oklahoma City,5737,5783,15165,1516,16681,1,2235,1103,13,1,3,22,Core
114,EM8263,2025-08-05,2007,Chevrolet,Silverado 2500,Truck/Trailer,Semi Tractors,GA,Atlanta,5333,5951,12461,1246,13707,1,2404,553,8,2,5,33,Enterprise
115,IF0461,2025-08-05,1998,Toyota,RAV4,Passenger,SUVs,KS,Wichita,1305,1459,6951,695,7646,1,2371,98,11,1,4,31,Core
116,JI3858,2025-08-05,2021,Toyota,Corolla,Passenger,Sedans,MO,Springfield,1533,1590,2197,219,2416,1,2644,1886,7,1,4,31,Core
117,FX1616,2025-08-05,2011,New Holland,T8.380,Ag Equipment,Harvesters,SC,Charleston,7504,10771,20354,2035,22389,1,2495,271,10,2,5,37,Core
118,YB4449,2025-08-05,2011,Kenworth,T880,Truck/Trailer,Box Trucks,OK,Broken Arrow,5225,5766,11973,1197,13170,1,2068,1286,6,1,2,16,Core
119,RC1309,2025-08-05,1995,Komatsu,PC210,Construction,Excavators,IL,Springfield,12517,21360,30818,3081,33899,1,2352,1464,1,1,1,3,Enterprise
120,MF2331,2025-08-05,2020,Ford,Fusion,Passenger,Sedans,KS,Topeka,1066,1636,6965,696,7661,1,2528,394,13,1,3,19,Core
121,RY7818,2025-08-05,2000,Komatsu,D155,Construction,Skid Steers,KS,Topeka,16576,21297,46572,4657,51229,1,2323,1730,5,1,4,30,Enterprise
122,NX9664,2025-08-05,1992,John Deere,DB60,Ag Equipment,Tractors,MI,Grand Rapids,11604,11326,21916,2191,24107,1,2518,1121,8,1,2,14,Core
123,MP5578,2025-08-05,2014,Chevrolet,Malibu,Passenger,Sedans,TX,San Antonio,1077,1540,6384,638,7022,1,2306,210,9,1,4,25,Core
124,UJ0185,2025-08-05,2006,Toyota,Highlander,Passenger,SUVs,KS,Topeka,1345,1462,6099,609,6708,1,2645,1140,12,1,4,26,Core
125,OD1497,2025-08-05,2011,Chevrolet,Traverse,Passenger,Minivans,OR,Salem,1007,1561,5796,579,6375,1,2609,2633,2,3,9,67,Expansion
126,KA2101,2025-08-05,2023,Chevrolet,Malibu,Passenger,Minivans,MN,Minneapolis,1287,1574,5375,537,5912,1,2308,1229,10,1,1,6,Core
127,QA2719,2025-08-05,2022,Volvo,L150H,Construction,Wheel Loaders,NE,Lincoln,13375,19665,30203,3020,33223,1,2201,426,4,1,2,10,Enterprise
128,PT6585,2025-08-05,2005,Chevrolet,Silverado 2500,Truck/Trailer,Dump Trucks,WA,Spokane,5721,6122,18622,1862,20484,1,2118,1662,3,3,12,89,Core
129,IK6642,2025-08-05,1999,Peterbilt,348,Truck/Trailer,Pickup Trucks,NC,Greensboro,5398,6022,15324,1532,16856,1,2127,1511,4,2,6,43,Core
130,UN5364,2025-08-05,2007,Ford,F-350,Truck/Trailer,Box Trucks,IL,Chicago,4576,6180,12576,1257,13833,1,2015,1939,14,1,2,15,Core
131,QX3837,2025-08-05,2024,Freightliner,Columbia,Truck/Trailer,Dump Trucks,NC,Raleigh,4817,6887,14585,1458,16043,1,2390,1933,6,2,7,50,Core
132,BR5660,2025-08-05,2021,Volvo,EC300,Construction,Wheel Loaders,OH,Columbus,13265,20291,32756,3275,36031,1,2613,988,14,1,1,2,Enterprise
133,SE7785,2025-08-05,2011,Caterpillar,349,Construction,Skid Steers,TX,Houston,18762,18790,31939,3193,35132,1,2397,940,15,1,1,3,Enterprise
134,RZ3000,2025-08-05,1991,Case IH,9250,Ag Equipment,Tractors,PA,Pittsburgh,11123,10792,28832,2883,31715,1,2472,675,14,2,5,38,Expansion
135,GD2236,2025-08-05,2013,John Deere,950K,Construction,Skid Steers,MO,St Louis,15297,18226,36844,3684,40528,1,2521,504,5,1,3,19,Enterprise
136,XX7279,2025-08-05,2001,Ford,F-250,Truck/Trailer,Semi Tractors,NV,Las Vegas,5096,5696,10005,1000,11005,1,2542,509,9,3,12,93,Expansion
137,US3511,2025-08-05,1991,Ram,3500,Truck/Trailer,Box Trucks,KS,Wichita,4641,6326,14122,1412,15534,1,2192,1652,11,1,3,17,Core
138,PF5612,2025-08-05,2015,Case IH,2150,Ag Equipment,Combines,NC,Raleigh,8337,10868,18099,1809,19908,1,2127,198,11,2,8,64,Core
139,DB3015,2025-08-05,2008,Freightliner,Columbia,Truck/Trailer,Pickup Trucks,MO,Springfield,4012,6871,19143,1914,21057,1,2377,1417,2,1,2,15,Expansion
140,YS8254,2025-08-05,1992,Komatsu,PC210,Construction,Dozers,VA,Virginia Beach,14467,21196,34011,3401,37412,1,2084,1046,14,2,7,54,Enterprise
141,UZ7328,2025-08-05,2023,Kenworth,T880,Truck/Trailer,Semi Tractors,WI,Milwaukee,5189,7135,8660,866,9526,1,2312,21,3,1,1,4,Expansion
142,TS6675,2025-08-05,2014,Ford,Escape,Passenger,Sedans,IA,Davenport,1587,1493,2129,212,2341,1,2156,1651,14,1,4,29,Core
143,XY8116,2025-08-05,2017,Ford,Explorer,Passenger,SUVs,GA,Augusta,1370,1732,3998,399,4397,1,2292,13,6,2,6,41,Expansion
144,HX8817,2025-08-05,1990,Caterpillar,972M,Construction,Wheel Loaders,MO,Springfield,19408,19073,33750,3375,37125,1,2293,2585,1,1,4,27,Enterprise
145,PH2683,2025-08-05,2019,Toyota,Camry,Passenger,SUVs,KS,Overland Park,1197,1713,4743,474,5217,1,2385,230,7,1,1,1,Core
146,KN5012,2025-08-05,2004,Freightliner,Century,Truck/Trailer,Box Trucks,OK,Oklahoma City,5942,6387,8781,878,9659,1,2270,94,2,1,2,10,Enterprise
147,TG5614,2025-08-05,2012,Chevrolet,Silverado 2500,Truck/Trailer,Semi Tractors,KS,Wichita,4321,6834,10676,1067,11743,1,2116,897,7,1,1,7,Core
148,WX5811,2025-08-05,2023,Chevrolet,Traverse,Passenger,SUVs,TX,Dallas,1511,1741,6205,620,6825,1,2154,378,15,1,2,11,Core
149,QY0533,2025-08-05,2019,New Holland,CR10.90,Ag Equipment,Tractors,CA,San Diego,11164,10929,23680,2368,26048,1,2075,2642,13,3,12,91,Expansion
150,JD6957,2025-08-05,1999,John Deere,DB60,Ag Equipment,Combines,TX,Houston,9751,12058,17555,1755,19310,1,2507,2518,14,1,1,8,Expansion
151,NI9493,2025-08-05,2000,Chevrolet,Silverado 2500,Truck/Trailer,Semi Tractors,CA,Sacramento,5393,6429,10693,1069,11762,1,2336,765,10,3,11,82,Core
152,VF3343,2025-08-05,2010,Chevrolet,Malibu,Passenger,Coupes,KS,Wichita,1048,1501,6272,627,6899,1,2037,353,4,1,3,20,Core
153,OP8703,2025-08-05,2005,Toyota,Camry,Passenger,Minivans,MO,Kansas City,1362,1490,5740,574,6314,1,2537,1937,14,1,4,26,Expansion
154,IA2651,2025-08-05,1996,Case IH,Magnum 340,Ag Equipment,Tractors,WI,Milwaukee,8448,11835,25399,2539,27938,1,2006,1328,5,1,1,4,Core
155,DP8666,2025-08-05,1993,John Deere,350G,Construction,Wheel Loaders,CA,San Francisco,13070,21807,32157,3215,35372,1,2195,258,7,3,10,74,Expansion
156,SK5141,2025-08-05,2020,Massey Ferguson,8735,Ag Equipment,Combines,MI,Grand Rapids,7767,11832,19667,1966,21633,1,2392,988,3,1,1,8,Core
157,GE6725,2025-08-05,2024,Honda,Accord,Passenger,Coupes,WA,Seattle,1437,1567,7384,738,8122,1,2579,590,4,3,9,69,Core
158,BG9454,2025-08-05,1997,Case IH,8250,Ag Equipment,Tractors,CA,Sacramento,11094,10511,21120,2112,23232,1,2072,664,4,3,10,80,Expansion
159,YU9780,2025-08-05,1991,Volvo,EC480,Construction,Skid Steers,FL,Orlando,18100,19225,47718,4771,52489,1,2569,1616,5,2,7,54,Enterprise
160,XO9064,2025-08-05,1997,Ford,F-350,Truck/Trailer,Pickup Trucks,OH,Cleveland,4814,6578,12541,1254,13795,1,2627,805,3,1,2,9,Core
161,LS6979,2025-08-05,2002,Caterpillar,349,Construction,Excavators,OH,Cincinnati,15634,20798,28424,2842,31266,1,2562,131,15,1,2,11,Enterprise
162,FA9870,2025-08-05,2020,Case IH,8250,Ag Equipment,Planters,TX,Houston,10441,12751,25703,2570,28273,1,2315,534,15,1,3,23,Expansion
163,OC3701,2025-08-05,2023,Caterpillar,349,Construction,Skid Steers,VA,Richmond,12861,22046,26946,2694,29640,1,2025,1690,1,2,5,34,Enterprise
164,BS3982,2025-08-05,2023,John Deere,950K,Construction,Excavators,OH,Cincinnati,12998,21296,27766,2776,30542,1,2104,1010,5,1,2,9,Enterprise
165,VX4130,2025-08-05,2005,Komatsu,D85,Construction,Wheel Loaders,KS,Wichita,19083,19141,44888,4488,49376,1,2451,1042,14,1,4,27,Core
